Code,VISIT_DATE,Period,ALL_SPECIES,FHS_Ref,All_Ref,DEPTH,RICHNESS,Australasian Shoveler,Australasian Grebe,Australian Pelican,Australian Shelduck,Banded Stilt,Australian Wood Duck,Black Swan,Black-fronted Dotteral,Black-tailed Native-Hen,Black-winged Stilt,Blue-billed Duck,Chestnut Teal,Clamorous Reed Warbler,Darter,Dusky Moorhen,Eurasian Coot,Freckled Duck,Great Cormorant,Great Egret,Great Crested Grebe,Greenshank,Grey Teal,Hardhead,Hoary-headed Grebe,Little Black Cormorant,Little Pied Cormorant,Swamp Harrier,Marsh Sandpiper,Musk Duck,Oriental Plover,Pacific Black Duck,Pied Cormorant,Pink-eared Duck,Purple Swamphen (northern),Red-capped Plover,Red-kneed Dotteral,Nankeen Night Heron,Australian White Ibis,Sharp-tailed Sandpiper,Silver Gull,Straw-necked Ibis,Whistered Tern,White-faced Heron,White-necked Heron,Wood Sandpiper,Yellow-billed Spoonbill
TR0482,8/04/1982,1980s,N,N,N,1.2,16,8,,,178,,82,70,,,,15,,,,,30,24,,,,,28,,60,,6,,,7,,5,,78,,,,3,,,,,,8,,,5
TR04A,10/04/1982,1980s,N,N,N,1.2,21,24,31,,63,,49,39,,,,4,,,,,80,53,27,1,,,60,17,45,1,10,,,5,,23,,130,,,,3,,,,,,23,,,7
TR0582,11/05/1982,1980s,N,N,N,1.2,16,3,,,14,,91,27,,,,,,,,,65,180,15,,,,235,,102,,17,,,5,,5,,29,,,,,,,,,,11,2,,6
TR05A82,12/05/1982,1980s,N,N,N,1.2,15,34,2,,7,,55,24,1,,,,,,,,,15,,6,,,310,,,,3,,,1,,4,,4,,,,,,,,,,1,2,,
TR0782,15/07/1982,1980s,N,N,N,1.2,14,2,17,,8,,,6,,,,2,,,,,1,,1,,,,70,7,7,,,,,4,,,2,6,,,,,,,,,,4,,,
TR07A82,16/07/1982,1980s,N,N,N,1.2,16,29,,,15,,,18,,,,,,,,,148,,18,1,,,88,14,122,,1,,,1,,13,,20,,,,,,,,,,23,5,,5
TR0882,14/08/1982,1980s,N,N,N,1.2,15,6,3,,2,,,4,2,,,,,,,,80,6,16,,,,17,25,60,,13,,,4,,,,23,,,,,,,,,,2,,,
TR0982,16/09/1982,1980s,A,Y,Y,1.2,22,14,,,2,,2,4,,,,,,,,,77,18,7,,1,,147,41,135,3,43,,,3,,3,,42,,,,8,,,1,,2,7,1,,6
TR09A82,17/09/1982,1980s,N,N,N,1.2,11,1,,,1,,,,,,,5,,,,,,80,1,,,,,1,,,1,,,,,,,1,,,,,,,,,,1,1,,1
TR1182,14/11/1982,1980s,N,N,N,1.1,21,8,7,,6,,4,,,,,,,,,,12,28,,15,6,,138,10,,,29,2,,1,,6,,23,,,,13,4,,,2,,3,2,,6
TR11A82,15/11/1982,1980s,A,N,Y,1.1,23,16,2,,38,,26,7,,,,2,,,,,181,206,5,,5,,259,17,94,15,36,,,6,,,,53,,,,4,1,,,1,,9,5,,6
TR1282,1/12/1982,1980s,N,N,N,1,20,10,,,15,,20,,3,,,,,,,,50,600,,12,3,,150,50,100,,60,,,3,,1,,1,,,,10,1,,,1,,5,,,7
TR0183,3/01/1983,1980s,N,N,N,0.6,18,11,,,78,,3,,14,,2,,,,,,,,,12,,,300,,,,37,1,,,1,,3,1,,19,,18,,,,6,,73,3,,6
TR01A83,4/01/1983,1980s,A,N,Y,0.6,22,26,,,86,3,25,2,,1,2,,,,,,21,150,,13,3,,622,4,,,17,,,3,,17,,28,,,,,3,,,6,,40,2,,11
TR0283,8/02/1983,1980s,A,N,N,0.1,17,,,,17,,,,1,1,41,,,,,,,,,29,,1,54,,,1,9,,,,,1,,1,,,1,31,,1,,,,111,1,,18
TR0383,13/03/1983,1980s,A,N,N,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
TR0883,18/08/1983,1980s,N,N,N,2.4,9,10,,,2,,,,,,,,,,,,21,,,,,,76,,8,,,,,2,,8,,8,,,,,,,,,,,1,,
TR08A83,26/08/1983,1980s,N,N,N,2.45,10,,,,1,,,,,,,,,,,,,6,2,,,,,1,1,,30,,,1,,,,1,,,,10,,,,,,,,,3
