,TE-D96,TS-D96,TW-D96,W1-D96,W2-D96,W3-D96,TE-A17,TS-A17,TW-A17,W1-A17,W2-A17,W3-A17,TE-O17,TS-O17,TW-O17,W1-O17,W2-O17,W3-O17,TE-N21,TS-N21,TW-N21,W1-N21,W2-N21,W3-N21,TE-J22,TS-J22,TW-J22,W1-J22,W2-J22,W3-J22,SPS034,SPS049,SPS072,SPS082
OG040504,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OG040505,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,
OG040506,,,,,,,,,,,,,1,1,,,,,,,,,,,1,1,1,1,1,1,,,,
OG040507,,,,,,,,,,,,,,,,1,1,1,,,,1,1,1,,1,,1,1,1,,1,,1
OG060201,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,1,1,
OG0602B6,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OG0602C5,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OG033401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
OG0334B1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
OG070199,,,,,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,1,1,,1,,,
OH060101,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
OH081901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
OH080101,1,1,1,1,1,1,,,,,,,,1,,,,,1,1,,1,1,1,1,1,,1,,1,,,1,1
OH080311,,,,,1,,,,,,,,,,,,,,1,,,,1,1,1,1,1,1,1,1,,,,
OH080399,,,,,,,,,,,,,,,,1,1,1,,,,1,,,,,,,,,,,,
OH0803B9,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OH080302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OH080403,1,1,,1,1,1,,,,,,,,,,,1,,,1,1,1,1,1,1,1,1,1,1,1,1,,,1
OH080599,,,,1,1,,,,,,,,,,,1,1,1,,,,,,,,,,,,1,,1,,1
OH080602,1,1,1,1,1,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,
OH080703,1,1,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
OH081099,,,,,,,,,,,,,1,,,,,1,,,,1,,,,,,,,,,,,
OH081201,1,1,1,1,1,1,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,1,
OH081204,1,1,1,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,
OH090101,,,,,1,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,,1,1
OH082101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1
OH0821A0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
OJ110101,1,1,1,1,1,1,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1
OJ110199,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
OJ1102A1,,,,1,1,1,,,,,,,1,1,1,,1,1,1,1,,1,1,1,1,1,1,1,,1,1,1,1,1
OJ3101A4,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OJ310301,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,
OJ310701,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OJ310703,,,1,1,,1,,,,,,1,1,,1,,1,,,,,,,,,,,,,,,,,1
OJ311001,,,,,,,,,,,,,,1,1,,,1,,,,,,,,,,,,,1,,,
OJ3111A0,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
OJ311201,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
OJ6199A0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
OJ6103A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
OJ6199A4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
OP020102,1,1,1,1,1,1,,,,,,,1,1,1,,,,,,,1,,,,,,1,1,1,,,1,1
QC090399,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
QC090499,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,,,,1
QC091006,1,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
QC091002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
QC091101,,,,1,1,1,,,,1,,,,,,,,,1,1,1,1,,1,,,,,,,1,,,1
QC091699,,,,1,1,1,,,,,,,1,,1,1,1,,1,1,,1,1,,,,,,,,1,1,1,1
QC091899,,,,1,1,1,,,,,,,,,,,,,,,1,,1,,,,,1,1,1,1,1,1,1
QC092099,,,1,,,,,,,,,,,,,,,,1,1,1,1,1,,,,,,1,,1,,,
QC092199,,,,,1,1,,,,,,,,1,,,,,,,,,,1,,1,,1,1,1,1,1,,1
QC092399,,,,,1,,1,1,,1,,,1,1,,1,1,1,,1,,,1,1,,,,,,,,,,
QC092401,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
QC092899,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,
QC092901,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,
QC093401,,,,,,,,,,,,,1,1,,,,,1,,,,,,,,,,,,,,,
QC110499,1,1,1,1,1,1,,1,,1,,1,1,1,1,,1,,1,,,,1,,,,,,,,,,1,
QC111101,,,,,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,
QC111199,,,,1,,1,,1,,,,,1,1,,,,,,,,,,,1,,,,,,,,,1
QC111699,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
QC130101,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
QC060199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
QD019999,1,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,
QD070199,1,1,1,,,,1,1,,,,1,,1,,,,,,,,,,,,,,,,,,,,
QD070706,,,,,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
QD070709,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,
OD070502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
QD099999,1,,1,1,,1,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,,,1
QD0999B1,1,,,,1,,,,,,1,1,,,,,,,1,,,,,,,,1,,,,,,1,
QD129999,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,1,
QD249999,1,1,1,,1,,,1,,1,1,1,1,1,,1,1,1,1,,1,1,,1,1,1,1,1,,,,,,
QD369999,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
QD439999,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
QD789999,1,1,1,,,,1,1,1,1,,1,,,,,,,,1,,1,1,1,1,,,,,,,,1,
QD899999,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
QDAE0803,1,1,1,1,1,1,,1,,,,,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,,1,
QDAE0804,,,,,,,,,,,,,1,,1,,,,,,,,1,1,1,,1,1,1,1,,1,1,1
QDAE11A2,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,
QDAF1202,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,1,1
QDAF1501,,,,,1,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,1,
QDAF2801,,,,,,,,,,,,,,,,,,,,1,1,,1,,,,,,,,,,,
QDAE1201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
QDAH04D8,1,1,1,1,1,1,,,,,,,1,1,1,,1,1,,,1,,,,1,1,1,1,1,,1,1,1,1
QDAH04B9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
QDAI2201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1
QDAI0408,1,1,1,,,,1,1,1,1,1,1,,,,,,,,,1,1,,,,,,,1,,,,,
QDAI0414,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,1
QDAI04A0,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
QDAI0703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
QDAI0603,1,1,1,1,1,1,,,,,,,1,1,1,1,1,1,,,,1,1,,1,,,1,1,1,,1,1,
QDAI0611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
QDAI06A4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
QDAI0701,1,1,,1,1,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,
QDAI0703,,,,,,,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,
QDAI0804,1,1,1,1,1,1,,,,,,,1,1,1,1,1,1,,,1,,,1,,1,1,1,1,1,1,,1,
QDAI1901,,1,,1,1,1,,,,,,,,,1,,1,,,,,,,,,,,,1,,1,1,1,
QDAI2201,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
QDAI2599,,,,,,,,,,,,,,,,,,,1,,1,,1,,,,,,,,,,,
QH520199,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QH560199,,,,1,,,,1,1,,,1,,1,,,,,,,,,,,,,,,,,,,,
QH650204,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,1,,1,,,,
QH650206,,1,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
QH650301,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,1,,,,
QH650302,1,,,1,1,1,,,,,,,1,1,1,1,1,1,,,,,,,,1,1,1,1,1,,,,
QH650303,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
QH650502,1,,1,1,1,1,,1,,,,,1,1,1,,1,1,,1,,,,1,1,1,1,1,1,1,1,1,,1
QH650503,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,
QH670401,1,1,1,1,1,1,,,,,,,1,1,1,1,1,1,1,,,,,1,1,1,1,1,1,1,,1,,1
QH670402,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,1,,,1
QH670403,,,,1,1,1,1,1,1,,,,1,,,,,,,,,,,,,1,,1,1,,,1,,
QH670405,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
QH670426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
QL019999,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QO020501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1
QO021301,1,1,1,,1,1,,,,,,,1,1,,,,,,,,,,,1,,1,1,1,1,,,,
QO050101,,,,,,,,,,,,,1,1,1,,1,,,1,1,1,1,1,,,,,,,,,,
QO050102,1,1,1,1,1,1,,,,,,,1,1,1,1,,,1,1,1,1,,1,1,1,1,1,1,1,,1,,
QO050103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
QO050105,,,,,,,,,,,,,,1,1,,1,,1,,1,1,1,,,,,,,,,,,
QO121204,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,,1,,,,,1,,
QO120201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
QO170701,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QO171601,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QO300199,1,1,1,1,1,1,,1,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,,1,1,1
QT080499,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QT250504,1,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QT250799,,,,1,1,,,,,,,,,,1,,,,,,1,,,,,,,1,1,,,1,1,
QT251103,1,1,,1,1,1,,,,,,,1,1,1,1,1,1,,,1,,1,1,,1,1,1,1,1,,1,,1
