SiteCode,salinity,SAPrichness,Period,Symbol
SPS210,330,0,A,1
SPS212,79,10,A,1
TE-D96,9.4,39,B,19
TS-D96,9.4,40,B,19
TW-D96,9.4,34,B,19
W1-D96,2.8,45,B,19
W2-D96,2.8,49,B,19
W3-D96,2.8,44,B,19
TE-O17,0.78,42,C,19
TS-O17,0.78,44,C,19
TW-O17,0.78,38,C,19
W1-O17,0.61,27,C,19
W2-O17,0.61,38,C,19
W3-O17,0.61,30,C,19
TE-N21,1.78,32,D,19
TS-N21,1.77,27,D,19
TW-N21,1.74,32,D,19
W1-N21,1.25,33,D,19
W2-N21,1.25,41,D,19
W3-N21,1.45,31,D,19
TE-J22,2,34,D,19
TS-J22,2,30,D,19
TW-J22,2,30,D,19
W1-J22,2.6,38,D,19
W2-J22,2.6,39,D,19
W3-J22,2.6,33,D,19
SPS034,1.37,30,E,19
SPS049,0.16,38,E,19
SPS072,5.3,38,E,19
SPS082,0.35,52,E,19
SPS083,0.52,64,E,19
SPS111,3.2,69,E,19
